Formula,Temperature (K),TC,DOI
Sn60.05Se39.95,316,0.8864, 10.1016/j.jallcom.2016.01.190
Sn60.05Se39.95,367,0.7723,
Sn60.05Se39.95,422,0.6881,
Sn60.05Se39.95,471,0.6755,
Sn60.05Se39.95,522,0.5973,
Sn60.05Se39.95,569,0.6206,
Sn60.05Se39.95,624,0.5961,
Sn60.05Se39.95,676,0.5119,
Sn60.05Se39.95,720,0.5711,
Sn60.05Se39.95,778,0.5644,
Sn59.26Al0.27Se40.47,320,0.6117,
Sn59.26Al0.27Se40.47,373,0.5633,
Sn59.26Al0.27Se40.47,422,0.497,
Sn59.26Al0.27Se40.47,471,0.4427,
Sn59.26Al0.27Se40.47,573,0.3698,
Sn59.26Al0.27Se40.47,622,0.3513,
Sn59.26Al0.27Se40.47,671,0.3508,
Sn59.26Al0.27Se40.47,724,0.38,
Sn59.26Al0.27Se40.47,771,0.3615,
Sn59.26Al0.27Se40.47,778,0.3674,
Sn58.44Cu0.63Se40.93,320,0.7908,
Sn58.44Cu0.63Se40.93,371,0.6529,
Sn58.44Cu0.63Se40.93,422,0.5448,
Sn58.44Cu0.63Se40.93,469,0.4726,
Sn58.44Cu0.63Se40.93,520,0.4242,
Sn58.44Cu0.63Se40.93,573,0.3878,
Sn58.44Cu0.63Se40.93,624,0.3573,
Sn58.44Cu0.63Se40.93,671,0.3329,
Sn58.44Cu0.63Se40.93,727,0.3203,
Sn58.44Cu0.63Se40.93,776,0.2659,
Sn58.71In1.15Se40.14,318,0.8804,
Sn58.71In1.15Se40.14,369,0.8021,
Sn58.71In1.15Se40.14,422,0.7239,
Sn58.71In1.15Se40.14,471,0.6696,
Sn58.71In1.15Se40.14,520,0.6332,
Sn58.71In1.15Se40.14,573,0.6087,
Sn58.71In1.15Se40.14,620,0.62,
Sn58.71In1.15Se40.14,673,0.6194,
Sn58.71In1.15Se40.14,724,0.6367,
Sn58.71In1.15Se40.14,778,0.6599,
Sn56.63Pb2.02Se41.35,320,0.5997,
Sn56.63Pb2.02Se41.35,371,0.5932,
Sn56.63Pb2.02Se41.35,422,0.5149,
Sn56.63Pb2.02Se41.35,469,0.4427,
Sn56.63Pb2.02Se41.35,518,0.4481,
Sn56.63Pb2.02Se41.35,573,0.4773,
Sn56.63Pb2.02Se41.35,624,0.5125,
Sn56.63Pb2.02Se41.35,673,0.5,
Sn56.63Pb2.02Se41.35,724,0.4158,
Sn56.63Pb2.02Se41.35,773,0.4809,
Sn60.05Se39.95,299,0.7068, 10.1039/C5TA08847J
Sn60.05Se39.95,321,0.6828,
Sn60.05Se39.95,369,0.6369,
Sn60.05Se39.95,418,0.5848,
Sn60.05Se39.95,465,0.5287,
Sn60.05Se39.95,513,0.4808,
Sn60.05Se39.95,558,0.4347,
Sn60.05Se39.95,611,0.3948,
Sn60.05Se39.95,658,0.367,
Sn60.05Se39.95,705,0.3472,
Sn60.05Se39.95,755,0.3396,
Sn60.05Se39.95,771,0.3336,
Sn59.11Na0.20Se40.69,300,0.8702,
Sn59.11Na0.20Se40.69,371,0.7397,
Sn59.11Na0.20Se40.69,472,0.5611,
Sn59.11Na0.20Se40.69,571,0.4469,
Sn59.11Na0.20Se40.69,672,0.3873,
Sn59.11Na0.20Se40.69,722,0.3776,
Sn59.11Na0.20Se40.69,772,0.384,
Sn58.64Na0.30Se41.06,299,0.8419,
Sn58.64Na0.30Se41.06,370,0.7155,
Sn58.64Na0.30Se41.06,470,0.5469,
Sn58.64Na0.30Se41.06,571,0.449,
Sn58.64Na0.30Se41.06,670,0.4034,
Sn58.64Na0.30Se41.06,722,0.3937,
Sn58.64Na0.30Se41.06,772,0.4002,
Sn58.16Na0.39Se41.45,301,0.8823,
Sn58.16Na0.39Se41.45,373,0.7337,
Sn58.16Na0.39Se41.45,470,0.5631,
Sn58.16Na0.39Se41.45,573,0.4308,
Sn58.16Na0.39Se41.45,672,0.3752,
Sn58.16Na0.39Se41.45,723,0.3695,
Sn58.16Na0.39Se41.45,771,0.3881,
Sn57.21Na0.59Se42.20,302,1.0093,
Sn57.21Na0.59Se42.20,373,0.8566,
Sn57.21Na0.59Se42.20,471,0.6659,
Sn57.21Na0.59Se42.20,573,0.4671,
Sn57.21Na0.59Se42.20,672,0.3832,
Sn57.21Na0.59Se42.20,724,0.3756,
Sn57.21Na0.59Se42.20,774,0.38,
Sn60.05Se39.95,296,1.5444,10.1016/j.scriptamat.2016.08.009
Sn60.05Se39.95,326,1.4056,
Sn60.05Se39.95,348,1.2875,
Sn60.05Se39.95,375,1.2111,
Sn60.05Se39.95,401,1.1694,
Sn60.05Se39.95,423,1.1069,
Sn60.05Se39.95,449,1.0861,
Sn60.05Se39.95,475,1.0306,
Sn60.05Se39.95,494,0.9889,
Sn60.05Se39.95,524,0.9472,
Sn60.05Se39.95,546,0.8986,
Sn60.05Se39.95,572,0.8639,
Sn60.05Se39.95,606,0.8569,
Sn60.05Se39.95,624,0.8153,
Sn60.05Se39.95,643,0.8014,
Sn60.05Se39.95,669,0.7806,
Sn60.05Se39.95,699,0.7389,
Sn60.05Se39.95,721,0.7042,
Sn60.05Se39.95,743,0.6833,
Sn60.05Se39.95,766,0.6625,
Sn60.05Se39.95,796,0.7875,
Sn60.05Se39.95,818,0.7806,
Sn60.05Se39.95,848,0.7736,
Sn60.05Se39.95,874,0.7597,
Sn58.74Zn1.00Se40.26,296,1.4194,
Sn58.74Zn1.00Se40.26,326,1.3917,
Sn58.74Zn1.00Se40.26,345,1.3708,
Sn58.74Zn1.00Se40.26,371,1.2736,
Sn58.74Zn1.00Se40.26,401,1.3153,
Sn58.74Zn1.00Se40.26,427,1.1764,
Sn58.74Zn1.00Se40.26,449,1.2111,
Sn58.74Zn1.00Se40.26,475,1.1556,
Sn58.74Zn1.00Se40.26,501,1.0653,
Sn58.74Zn1.00Se40.26,524,1.0306,
Sn58.74Zn1.00Se40.26,550,0.9681,
Sn58.74Zn1.00Se40.26,568,0.9611,
Sn58.74Zn1.00Se40.26,594,0.975,
Sn58.74Zn1.00Se40.26,624,0.9194,
Sn58.74Zn1.00Se40.26,650,0.8917,
Sn58.74Zn1.00Se40.26,673,0.9264,
Sn58.74Zn1.00Se40.26,702,0.8708,
Sn58.74Zn1.00Se40.26,721,0.8639,
Sn58.74Zn1.00Se40.26,751,0.8222,
Sn58.74Zn1.00Se40.26,770,0.8361,
Sn58.74Zn1.00Se40.26,799,0.8917,
Sn58.74Zn1.00Se40.26,825,0.8778,
Sn58.74Zn1.00Se40.26,848,0.85,
Sn58.74Zn1.00Se40.26,874,0.7597,
Sn59.17Zn0.67Se40.16,296,1.4194,
Sn59.17Zn0.67Se40.16,322,1.2806,
Sn59.17Zn0.67Se40.16,348,1.3014,
Sn59.17Zn0.67Se40.16,375,1.1903,
Sn59.17Zn0.67Se40.16,401,1.1903,
Sn59.17Zn0.67Se40.16,423,1.1417,
Sn59.17Zn0.67Se40.16,445,1.0653,
Sn59.17Zn0.67Se40.16,471,1.0653,
Sn59.17Zn0.67Se40.16,498,0.9819,
Sn59.17Zn0.67Se40.16,520,0.9542,
Sn59.17Zn0.67Se40.16,546,0.9194,
Sn59.17Zn0.67Se40.16,572,0.8986,
Sn59.17Zn0.67Se40.16,594,0.8986,
Sn59.17Zn0.67Se40.16,620,0.8569,
Sn59.17Zn0.67Se40.16,647,0.8639,
Sn59.17Zn0.67Se40.16,669,0.8569,
Sn59.17Zn0.67Se40.16,695,0.8222,
Sn59.17Zn0.67Se40.16,714,0.8222,
Sn59.17Zn0.67Se40.16,751,0.7944,
Sn59.17Zn0.67Se40.16,770,0.7667,
Sn59.17Zn0.67Se40.16,788,0.85,
Sn59.17Zn0.67Se40.16,799,0.9056,
Sn59.17Zn0.67Se40.16,870,0.8153,
Sn59.62Zn0.33Se40.05,296,1.4056,
Sn59.62Zn0.33Se40.05,322,1.3222,
Sn59.62Zn0.33Se40.05,345,1.3083,
Sn59.62Zn0.33Se40.05,393,1.2528,
Sn59.62Zn0.33Se40.05,371,1.1556,
Sn59.62Zn0.33Se40.05,419,1.0722,
Sn59.62Zn0.33Se40.05,442,1.0792,
Sn59.62Zn0.33Se40.05,471,1.0375,
Sn59.62Zn0.33Se40.05,494,0.9611,
Sn59.62Zn0.33Se40.05,516,0.9194,
Sn59.62Zn0.33Se40.05,542,0.9472,
Sn59.62Zn0.33Se40.05,576,0.8847,
Sn59.62Zn0.33Se40.05,598,0.8917,
Sn59.62Zn0.33Se40.05,617,0.8292,
Sn59.62Zn0.33Se40.05,643,0.8292,
Sn59.62Zn0.33Se40.05,673,0.8569,
Sn59.62Zn0.33Se40.05,695,0.8014,
Sn59.62Zn0.33Se40.05,721,0.8083,
Sn59.62Zn0.33Se40.05,743,0.7667,
Sn59.62Zn0.33Se40.05,770,0.7806,
Sn59.62Zn0.33Se40.05,799,0.85,
Sn59.62Zn0.33Se40.05,818,0.8292,
Sn59.62Zn0.33Se40.05,840,0.7806,
Sn59.62Zn0.33Se40.05,874,0.7389,
Sn78.75S21.25  ,823,0.66, 10.1007/s11664-014-3127-0
Sn78.75S21.25  ,823,0.64,
Sn78.40S21.60  ,823,0.65,
Sn77.90S22.10  ,823,0.63,
